published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,43841843,null,"Tetragonal phase stabilization and densification in AC flash-sintered 1.5 mol% yttria-stabilized zirconia polycrystals with high toughness",null,"[Fei Shen Ong,Kohta Nambu,Kohei Hosoi,Kenta Kawamura,Hiroshi Masuda,Bin Feng,Koji Matsui,Yuichi Ikuhara,Hidehiro Yoshida]",null,null,null,null,null,2023-09,null,"Journal of the European Ceramic Society",null,null,null,null,null,true,null,scientific_journal,null,null,10.1016/j.jeurceramsoc.2023.09.010,null,null,null,null,false,disclosed
insert,merge,null,47636299,null,"Ultrahigh toughness zirconia ceramics",null,"[Koji Matsui,Kohei Hosoi,Bin Feng,Hidehiro Yoshida,Yuichi Ikuhara]",null,null,"The attainment of both high strength and toughness is the ultimate goal for most structural materials. Although ceramic material has been considered for use as a structural material due to its high strength and good chemical stability, it suffers from the limitation of low toughness. For instance, although Y <sub>2</sub> O <sub>3</sub> -stabilized tetragonal ZrO <sub>2</sub> polycrystals (Y-TZPs) exhibit remarkable toughness among ceramics due to their phase transformation toughening mechanism, this toughness is still much weaker than that of metals. Here, we report Y-TZP-based ceramic materials with toughnesses exceeding 20 MPa m <sup>1/2</sup> , which is comparable to those of metals, while maintaining strengths over 1,200 MPa. The superior mechanical properties are realized by reducing the phase stability of tetragonal zirconia by tailoring the microstructure and chemistry of the Y-TZP. The proposed ceramic materials can further advance the design and application of ceramic-based structural materials.",null,"Proceedings of the National Academy of Sciences",2023-06-26,null,"Proceedings of the National Academy of Sciences",120,27,null,null,null,null,null,scientific_journal,null,null,10.1073/pnas.2304498120,0027-8424,1091-6490,https://pnas.org/doi/pdf/10.1073/pnas.2304498120,null,false,disclosed
insert,merge,null,43870211,null,"Atomic and electronic structure of grain boundaries in a-Al<inf>2</inf>O<inf>3</inf>: A combination of machine learning, first-principles calculation and electron microscopy",null,"[T. Yokoi,A. Hamajima,J. Wei,B. Feng,Y. Oshima,K. Matsunaga,N. Shibata,Y. Ikuhara]",null,null,"To accurately determine the atomic and electronic structures of symmetric tilt grain boundaries (GBs) in α-Al2O3, this work employed an artificial-neural-network (ANN) interatomic potential, density-functional-theory (DFT) calculation and scanning transmission electron microscopy (STEM) observation. An ANN-based simulated annealing method was demonstrated to efficiently screen candidate low-energy structures with reasonably high accuracy. For Σ7 and Σ31GBs with the [0001] tilt axis, which were absent in the training datasets for the ANN potential, their lowest-energy structures predicted from ANN and DFT calculations were in quantitative agreement with STEM images in terms of both Al- and O-column positions. The exact GB structures have enabled us to analyze quantitatively the relationship between their atomic and electronic structure. This work will be an important model case where a combination of machine-learning, theoretical calculation and experiment has successfully solved the problem of determining complicated GB structures and their electronic structures in α-Al2O3.",null,null,2023-05,null,"Scripta Materialia",229,null,null,null,null,null,null,scientific_journal,null,null,10.1016/j.scriptamat.2023.115368,1359-6462,null,null,null,false,disclosed
insert,merge,null,42185607,null,"Suppression of Strain Relaxation in VO<sub>2</sub>/TiO<sub>2</sub> Multilayered Films",null,"[Binjie Chen,Chuchu Yang,Bin Feng,Yuichi Ikuhara,Hiromichi Ohta]",null,null,null,null,"American Chemical Society (ACS)",2023-04-04,null,"ACS Applied Electronic Materials",5,4,2433,2438,null,null,null,scientific_journal,null,null,10.1021/acsaelm.3c00246,2637-6113,2637-6113,https://pubs.acs.org/doi/pdf/10.1021/acsaelm.3c00246,null,false,disclosed
insert,merge,null,41362768,null,"Ion diffusion across/along symmetric tilt grain boundaries in yttria-stabilized zirconia investigated by molecular dynamics simulations",null,"[Susumu Ikeda,Bin Feng,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"Elsevier BV",2023-04,null,"Solid State Ionics",392,null,116163,116163,null,null,null,scientific_journal,null,null,10.1016/j.ssi.2023.116163,0167-2738,null,null,null,false,disclosed
insert,merge,null,42185601,null,"Solid‐State Electrochemical Thermal Transistors",null,"[Qian Yang,Hai Jun Cho,Zhiping Bian,Mitsuki Yoshimura,Joonhyuk Lee,Hyoungjeen Jeen,Jinghuang Lin,Jiake Wei,Bin Feng,Yuichi Ikuhara,Hiromichi Ohta]",null,null,null,null,Wiley,2023-02-21,null,"Advanced Functional Materials",null,null,2214939,2214939,null,null,null,scientific_journal,null,null,10.1002/adfm.202214939,1616-301X,1616-3028,https://onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.202214939,https://onlinelibrary.wiley.com/doi/full-xml/10.1002/adfm.202214939,false,disclosed
insert,merge,null,47636309,null,"Atomistic grain boundary migration in Al<sub>2</sub>O<sub>3</sub>",null,"[Bin Feng,Jiake Wei,Naoya Shibata,Yuichi Ikuhara]",null,null,"Abstract

Grain boundary (GB) migration is one of the most important phenomena in materials science, which plays a key role in modifying the microstructures and properties of polycrystalline ceramic materials. Understanding how GB migrates is thus a fundamental and critical issue for future ceramic material design. While the understanding of GB atomic structures has evolved significantly over the past several decades due to the progress of atomic‐resolution electron microscopy and atomistic simulation, the understanding of the atomistic grain boundary migration is still lacking. The present article briefly reviews our recent progress on the direct observation of atomistic GB migration in ceramic material by atomic‐resolution scanning transmission electron microscopy (STEM). Using Al<sub>2</sub>O<sub>3</sub> as a model material, we found that the atomistic GB migration proceeds with atom shuffling accompanied by GB structural change and/or nucleation of disconnection, which is highly dependent on the GB atomic structures.",null,Wiley,2023-01-11,null,"International Journal of Ceramic Engineering &amp; Science",5,1,null,null,null,null,null,scientific_journal,null,null,10.1002/ces2.10169,2578-3270,2578-3270,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ces2.10169,https://onlinelibrary.wiley.com/doi/full-xml/10.1002/ces2.10169,false,disclosed
insert,merge,null,47636281,null,"CeO<sub>2</sub> supported high-valence Fe oxide for highly active and stable water oxidation",null,"[Hongzhi Liu,Jun Yu,Jinghuang Lin,Bin Feng,Mingzi Sun,Chen Qiu,Kun Qian,Zhichun Si,Bolong Huang,Jean-Jacques Delaunay,Yuichi Ikuhara,Shihe Yang]",null,null,"The high-valence Fe ions are stabilized on a CeO<sub>2</sub> support and achieved a record low overpotential of 219 mV to reach the current density of 50 mA cm<sup>−2</sup>.",null,"Royal Society of Chemistry (RSC)",2023,null,"EES Catalysis",1,5,720,729,null,null,null,scientific_journal,null,null,10.1039/d3ey00113j,null,2753-801X,http://pubs.rsc.org/en/content/articlepdf/2023/EY/D3EY00113J,null,false,disclosed
insert,merge,null,41317603,null,"Orthorhombic distortion-induced anatase-like optoelectronic properties of rutile TiO<sub>2</sub>",null,"[Binjie Chen,Kungwan Kang,Hyoungjeen Jeen,Yuqiao Zhang,Jinghuang Lin,Bin Feng,Yuichi Ikuhara,Sena Hoshino,Katsuyuki Matsunaga,Hiromichi Ohta]",null,null,"Titanium dioxide (TiO<sub>2</sub>) is an excellent photocatalyst and transparent conducting oxide. It has two major crystal structures: rutile and anatase. Anatase TiO<sub>2</sub> is valuable from an industrial point of view because it typically displays better photocatalytic and electronic transport properties than rutile TiO<sub>2</sub>. To further extract the functional properties of TiO<sub>2</sub>, understanding the correlation between the electronic structure and the crystal structure is essential. Because the electronic structure strongly depends on the crystal structure, introducing lattice distortion to rutile TiO<sub>2</sub> should effectively modulate its electronic structure. Here, we show that Nb-doped rutile TiO<sub>2</sub> epitaxial films on ([Formula: see text]) α-Al<sub>2</sub>O<sub>3</sub> substrates exhibit anatase-like optoelectronic properties due to orthorhombic lattice distortions and experimentally observe the change in the electronic structure. Reducing the film thickness increases the orthorhombic distortion ratio ( b/ a) up to 3.4%. As b/ a increases, the carrier effective mass decreases from 35 to 3  m<sub>0</sub> ( m<sub>0</sub>: electron mass) and the optical bandgap significantly increases. The present observations provide insight into regulating the TiO<sub>2</sub> physical properties and should be beneficial for designing TiO<sub>2</sub>-based photocatalysts and transparent conducting electrodes.",null,"AIP Publishing",2022-11-14,null,"Journal of Applied Physics",132,18,185301,185301,null,null,null,scientific_journal,null,null,10.1063/5.0119725,0021-8979,1089-7550,https://aip.scitation.org/doi/pdf/10.1063/5.0119725,null,false,disclosed
insert,merge,null,40749525,null,"Crystal Defect Core Studied by Advanced Electron Microscopy",null,"[Bin Feng,Jiake Wei,Ryo Ishikawa,Takehito Seki,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"Japan Institute of Metals",2022-10-01,null,"Materia Japan",61,10,640,644,null,null,null,scientific_journal,null,null,10.2320/materia.61.640,1340-2625,1884-5843,https://www.jstage.jst.go.jp/article/materia/61/10/61_640/_pdf,null,false,disclosed
insert,merge,null,47636319,null,"Enhanced high-temperature volume resistivity of AlN by doping",null,"[Daiki Kato,Bin Feng,Yasunobu Noritake,Tomoko Hishida,Naoya Shibata,Yuichi Ikuhara]",null,null,"Abstract

 The addition of various oxide dopants for AlN were investigated aiming to increase the AlN volume resistivity at high temperature. It was confirmed that the volume resistivity of 1 mol% MgO doped AlN shows four orders of magnitude higher than that of non-doped AlN. To further clarify the effect of MgO doping, we sintered various kinds of AlN with different MgO concentration and grain sizes, and the microstructures were investigated by transmission electron microscopy. The results suggest the inversion domain boundary appeared in the MgO doped AlN might be the possible reason for the increase of volume resistivity.",null,"IOP Publishing",2022-08-10,null,"Applied Physics Express",15,9,095501,095501,null,null,null,scientific_journal,null,null,10.35848/1882-0786/ac851f,1882-0778,1882-0786,https://iopscience.iop.org/article/10.35848/1882-0786/ac851f,https://iopscience.iop.org/article/10.35848/1882-0786/ac851f/pdf,false,disclosed
insert,merge,null,41262558,null,"Atomic and electronic band structures of Y-doped Al2O3 grain boundaries",null,"[Chuchu Yang,Bin Feng,Jiake Wei,Eita Tochigi,Naoya Shibata,Yuichi Ikuhara]",null,null,"An Y-doped Sigma 7{4 (5) over bar 10}[0001] Al2O3 grain boundary was fabricated by the bicrystal method. The grain boundary segregation structure was studied using atomic-resolution scanning transmission electron microscopy and energy dispersive X-ray spectroscopy. It was found that the atomic structure of the Y-doped grain boundary differs from that of the non-doped grain boundary, indicating that Y doping induced the structural transformation from asymmetrical shape to symmetrical shape in the grain boundary core. Apart from Y, impurities of Ca were also segregated at the grain boundary. Both Y3+ and Ca2+ are segregated at the same atomic columns in the grain boundary, mainly due to their larger ionic size compared with Al3+. In addition, valence electron energy loss spectroscopy measurements indicate that the bandgap energy of the doped grain boundary is about 0.5 eV smaller than that of the pristine grain boundary. (C)2022 The Ceramic Society of Japan. All rights reserved.",null,"CERAMIC SOC JAPAN-NIPPON SERAMIKKUSU KYOKAI",2022-03,null,"JOURNAL OF THE CERAMIC SOCIETY OF JAPAN",130,3,286,289,eng,null,null,scientific_journal,null,null,10.2109/jcersj2.21168,1882-0743,1348-6535,null,null,false,disclosed
insert,merge,null,37807655,null,"Direct imaging of the disconnection climb mediated point defects absorption by a grain boundary",null,"[Jiake Wei,Bin Feng,Eita Tochigi,Naoya Shibata,Yuichi Ikuhara]",null,null,"Grain boundaries can improve the radiation resistance of a material by annihilating point defects formed under irradiation, however the atomistic mechanism is still unclear. Here the authors demonstrate grain boundaries absorb point defects through the climb motion of disconnections.Grain boundaries (GBs) are considered as the effective sinks for point defects, which improve the radiation resistance of materials. However, the fundamental mechanisms of how the GBs absorb and annihilate point defects under irradiation are still not well understood at atomic scale. With the aid of the atomic resolution scanning transmission electron microscope, we experimentally investigate the atomistic mechanism of point defects absorption by a n-ary sumation 31 GB in alpha-Al2O3 under high energy electron beam irradiation. It is shown that a disconnection pair is formed, during which all the Al atomic columns are tracked. We demonstrate that the formation of the disconnection pair is proceeded with disappearing of atomic columns in the GB core, which suggests that the GB absorbs vacancies. Such point defect absorption is attributed to the nucleation and climb motion of disconnections. These experimental results provide an atomistic understanding of how GBs improve the radiation resistance of materials.",null,"NATURE PORTFOLIO",2022-03,null,"NATURE COMMUNICATIONS",13,1,null,null,eng,null,null,scientific_journal,null,null,10.1038/s41467-022-29162-2,null,2041-1723,null,null,false,disclosed
insert,merge,null,37663705,null,"Effect of annealing on grain growth and Y segregation behavior in tetragonal ZrO 2 thin film",null,"[Hiroaki Nakade,Eita Tochigi,Bin Feng,Ryo Ishikawa,Hiromichi Ohta,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,Wiley,2022-03,null,"Journal of the American Ceramic Society",105,3,2300,2308,null,null,null,scientific_journal,null,null,10.1111/jace.18217,0002-7820,1551-2916,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jace.18217,https://onlinelibrary.wiley.com/doi/full-xml/10.1111/jace.18217,false,disclosed
insert,merge,null,37930331,null,"Breaking of Thermopower-Conductivity Trade-Off in LaTiO3 Film around Mott Insulator to Metal Transition",null,"[Takayoshi Katase,Xinyi He,Terumasa Tadano,Jan M. Tomczak,Takaki Onozato,Keisuke Ide,Bin Feng,Tetsuya Tohei,Hidenori Hiramatsu,Hiromichi Ohta,Yuichi Ikuhara,Hideo Hosono,Toshio Kamiya]",null,null,"Introducing artificial strain in epitaxial thin films is an effective strategy to alter electronic structures of transition metal oxides (TMOs) and to induce novel phenomena and functionalities not realized in bulk crystals. This study reports a breaking of the conventional trade-off relation in thermopower (S)-conductivity (sigma) and demonstrates a 2 orders of magnitude enhancement of power factor (PF) in compressively strained LaTiO3 (LTO) films. By varying substrates and reducing film thickness down to 4 nm, the out-of-plane to the in-plane lattice parameter ratio is controlled from 0.992 (tensile strain) to 1.034 (compressive strain). This tuning induces the electronic structure change from a Mott insulator to a metal and leads to a 10(3)-fold increase in sigma up to 2920 S cm(-1). Concomitantly, the sign of S inverts from positive to negative, and both sigma and S increase and break the trade-off relation between them in the n-type region. As a result, the PF (=S-2 sigma) is significantly enhanced to 300 mu W m(-)(1)K(-2), which is 10(2) times larger than that of bulk LTO. Present results propose epitaxial strain as a means to finely tune strongly correlated TMOs close to their Mott transition, and thus to harness the hidden large thermoelectric PF.",null,WILEY,2021-12,null,"ADVANCED SCIENCE",8,23,null,null,eng,null,null,scientific_journal,null,null,10.1002/advs.202102097,null,2198-3844,null,null,false,disclosed
